date,alpha_set,fold,stitched_nav
2024-09-04,A_45_35_20,2020_2023_to_2024,1.0151296145125641
2024-09-05,A_45_35_20,2020_2023_to_2024,1.0151429352688512
2024-09-06,A_45_35_20,2020_2023_to_2024,1.0146118383052345
2024-09-09,A_45_35_20,2020_2023_to_2024,1.0128367122720645
2024-09-10,A_45_35_20,2020_2023_to_2024,1.0136548295276588
2024-09-11,A_45_35_20,2020_2023_to_2024,1.0131424424557567
2024-09-12,A_45_35_20,2020_2023_to_2024,1.0148508779670198
2024-09-13,A_45_35_20,2020_2023_to_2024,1.0172300027395444
2024-09-18,A_45_35_20,2020_2023_to_2024,1.0196780915545662
2024-09-19,A_45_35_20,2020_2023_to_2024,1.0235384039169955
2024-09-20,A_45_35_20,2020_2023_to_2024,1.0250353948469852
2024-09-23,A_45_35_20,2020_2023_to_2024,1.0257056691718862
2024-09-24,A_45_35_20,2020_2023_to_2024,1.032957766061452
2024-09-25,A_45_35_20,2020_2023_to_2024,1.0348953849157119
2024-09-26,A_45_35_20,2020_2023_to_2024,1.043431781282663
2024-09-27,A_45_35_20,2020_2023_to_2024,1.0480020395658711
2024-09-30,A_45_35_20,2020_2023_to_2024,1.0523873014530363
2024-10-08,A_45_35_20,2020_2023_to_2024,1.05303874240597
2024-10-09,A_45_35_20,2020_2023_to_2024,1.0283719432581413
2024-10-10,A_45_35_20,2020_2023_to_2024,1.0273367045089121
2024-10-11,A_45_35_20,2020_2023_to_2024,1.0220246802217188
2024-10-14,A_45_35_20,2020_2023_to_2024,1.0243369759730279
2024-10-15,A_45_35_20,2020_2023_to_2024,1.008770287506244
2024-10-16,A_45_35_20,2020_2023_to_2024,1.0103314933856111
2024-10-17,A_45_35_20,2020_2023_to_2024,1.007839848755029
2024-10-18,A_45_35_20,2020_2023_to_2024,1.034509016346002
2024-10-21,A_45_35_20,2020_2023_to_2024,1.0329397275467682
2024-10-22,A_45_35_20,2020_2023_to_2024,1.0369931262920815
2024-10-23,A_45_35_20,2020_2023_to_2024,1.0386139101726497
2024-10-24,A_45_35_20,2020_2023_to_2024,1.0329326613959855
2024-10-25,A_45_35_20,2020_2023_to_2024,1.0359612149782305
2024-10-28,A_45_35_20,2020_2023_to_2024,1.0401727328458923
2024-10-29,A_45_35_20,2020_2023_to_2024,1.0405574174720509
2024-10-30,A_45_35_20,2020_2023_to_2024,1.0389502194251528
2024-10-31,A_45_35_20,2020_2023_to_2024,1.0406935255579872
2024-11-01,A_45_35_20,2020_2023_to_2024,1.0337634211532907
2024-11-04,A_45_35_20,2020_2023_to_2024,1.0362466776083208
2024-11-05,A_45_35_20,2020_2023_to_2024,1.048465172913291
2024-11-06,A_45_35_20,2020_2023_to_2024,1.053637359482656
2024-11-07,A_45_35_20,2020_2023_to_2024,1.0569065114427862
2024-11-08,A_45_35_20,2020_2023_to_2024,1.057264442944402
2024-11-11,A_45_35_20,2020_2023_to_2024,1.0666147865167743
2024-11-12,A_45_35_20,2020_2023_to_2024,1.0583729592581939
2024-11-13,A_45_35_20,2020_2023_to_2024,1.059107865734173
2024-11-14,A_45_35_20,2020_2023_to_2024,1.0453565001120577
2024-11-15,A_45_35_20,2020_2023_to_2024,1.0360236295566332
2024-11-18,A_45_35_20,2020_2023_to_2024,1.0340018787667995
2024-11-19,A_45_35_20,2020_2023_to_2024,1.0448418262758454
2024-11-20,A_45_35_20,2020_2023_to_2024,1.0459174643460039
2024-11-21,A_45_35_20,2020_2023_to_2024,1.0521039730183106
2024-11-22,A_45_35_20,2020_2023_to_2024,1.0478901253974626
2024-11-25,A_45_35_20,2020_2023_to_2024,1.042012692360258
2024-11-26,A_45_35_20,2020_2023_to_2024,1.0367059289495029
2024-11-27,A_45_35_20,2020_2023_to_2024,1.0463597162698066
2024-11-28,A_45_35_20,2020_2023_to_2024,1.0439786774337236
2024-11-29,A_45_35_20,2020_2023_to_2024,1.0524870582620012
2024-12-02,A_45_35_20,2020_2023_to_2024,1.0536717133427225
2024-12-03,A_45_35_20,2020_2023_to_2024,1.0562180511210584
2024-12-04,A_45_35_20,2020_2023_to_2024,1.057027923556698
2024-12-05,A_45_35_20,2020_2023_to_2024,1.0574208772107647
2024-12-06,A_45_35_20,2020_2023_to_2024,1.0588828625227407
2024-12-09,A_45_35_20,2020_2023_to_2024,1.0584348564097124
