file,path,exists,size_mb,pandas_readable,pandas_error,duckdb_readable,duckdb_error,columns,rows,nonnull_rate_json,date_min,date_max,n_code,duplicate_key_rows_est,key_fields,list_date_min,list_date_max,n_tracking_index,n_index_code,report_date_min,report_date_max,n_industry,delist_date_min,delist_date_max
ak_latest_000852.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000852.SH_2026-04-17.parquet,True,0.0115,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,1000,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,1000.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000905.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000905.SH_2026-04-17.parquet,True,0.0083,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,500,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,500.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000906.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000906.SH_2026-04-17.parquet,True,0.0104,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,800,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,800.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000922.SH_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000922.SH_2026-04-17.parquet,True,0.005,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,100,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,100.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_000985.CSI_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_000985.CSI_2026-04-17.parquet,True,0.0383,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,5061,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,5061.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_399006.SZ_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_399006.SZ_2026-04-17.parquet,True,0.0042,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,100,"{""date"": 0.0, ""code"": 1.0, ""weight"": 0.0}",,,100.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_399330.SZ_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_399330.SZ_2026-04-17.parquet,True,0.0043,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,100,"{""date"": 0.0, ""code"": 1.0, ""weight"": 0.0}",,,100.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_399673.SZ_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_399673.SZ_2026-04-17.parquet,True,0.0039,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,50,"{""date"": 0.0, ""code"": 1.0, ""weight"": 0.0}",,,50.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_899050.BJ_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_899050.BJ_2026-04-17.parquet,True,0.0044,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,50,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,50.0,0.0,date;index_code;code,,,,0.0,,,,,
ak_latest_932000.CSI_2026-04-17.parquet,data/raw/index_constituents_parts_alt/ak_latest_932000.CSI_2026-04-17.parquet,True,0.0178,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,2000,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,2000.0,0.0,date;index_code;code,,,,0.0,,,,,
tushare_000010.SH_2014-01-30.parquet,data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-01-30.parquet,True,0.0053,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,180,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,180.0,0.0,date;index_code;code,,,,0.0,,,,,
tushare_000010.SH_2014-02-28.parquet,data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-02-28.parquet,True,0.0053,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,180,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,180.0,0.0,date;index_code;code,,,,0.0,,,,,
tushare_000010.SH_2014-03-31.parquet,data/raw/index_constituents_parts_alt/tushare_000010.SH_2014-03-31.parquet,True,0.0053,False,OSError: Repetition level histogram size mismatch,True,,date;index_code;code;weight;source;snapshot_quality,180,"{""date"": 0.0, ""code"": 1.0, ""weight"": 1.0}",,,180.0,0.0,date;index_code;code,,,,0.0,,,,,
